date,value
2015-11-23,1732340,7774700,7829000,7735100
2015-11-20,2772642,7693000,7793180,7641000
2015-11-19,1403664,7597800,7632300,7572300
2015-11-18,1809897,7495700,7611000,7473900
2015-11-17,1941187,7524700,7549500,7440500
2015-11-16,2531896,7402100,7517100,7343300
2015-11-13,2406131,7540400,7553300,7394700
2015-11-12,1768372,7601800,7657990,7558600
2015-11-11,2093422,7623800,7690800,7597500
2015-11-10,1489851,7534800,7606000,7484100
2015-11-09,1776667,7585200,7633000,7491100
2015-11-06,1675784,7593900,7630220,7550300
2015-11-05,2272684,7588100,7663500,7574700
2015-11-04,2087911,7499000,7599000,7492000
2015-11-03,1814805,7454300,7516980,7411600
2015-11-02,1994264,7378800,7481800,7314500
2015-10-30,1997533,7455600,7463100,7365300
2015-10-29,1824574,7366300,7467900,7351600
2015-10-28,1967439,733,7373700,7272700
2015-10-27,1936404,7265700,7359642,7241350
2015-10-26,2411726,7200200,7349500,7200200
2015-10-23,6330015,7500600,7525000,7179400
2015-10-22,4360204,6754400,6880499,6717000
2015-10-21,1604735,6832100,6849000,6707000
2015-10-20,471,6978900,698,6736800
2015-10-19,1502651,694,7002397,6922100
2015-10-16,1815517,6954000,6962200,6891000
2015-10-15,2355459,6852500,6941600,6843900
2015-10-14,1563983,6837300,6900400,6789000
2015-10-13,2115479,6742600,6884600,6731080
2015-10-12,1331892,6691900,6779800,6672400
2015-10-09,1604461,6674900,6740850,6623600
2015-10-08,1963318,6694500,6718900,6544900
2015-10-07,2188886,6774000,6787400,6581100
2015-10-06,2156640,6693500,6788000,6630823
2015-10-05,1896277,6616000,6730275,6558700
2015-10-02,2434071,6380100,6582555,6335000
2015-10-01,2117079,6379400,6438400,6311150
2015-09-30,2644953,6318300,6393100,6291500
2015-09-29,2106411,6255000,6346800,6180300
2015-09-28,2372041,6390500,6428500,6178400
2015-09-25,2421258,6585800,6585800,6396550
2015-09-24,1933343,6489700,6567699,6421650
2015-09-23,1455506,6529000,6602800,6507301
2015-09-22,2714760,6574700,6588200,6450300
2015-09-21,1908296,6655100,669,658
2015-09-18,3622426,6650600,6698400,6600300
2015-09-17,2372191,6674900,6819900,665
2015-09-16,1311353,6655500,6680699,6622000
2015-09-15,1776383,6567100,6688500,6533400
2015-09-14,1497577,6556300,6559200,6495010
2015-09-11,1744371,6502100,6553100,6474100
2015-09-10,1387402,6439000,6549000,6417000
2015-09-09,2046496,6518800,6573600,6409000
2015-09-08,1952855,641,6450400,6329000
2015-09-04,2021368,6297000,6345000,6265000
2015-09-03,1726636,6479300,6512500,6338073
2015-09-02,1876564,638,6450570,6306400
2015-09-01,2572229,6338100,6444400,6250600
2015-08-31,1939177,6543400,6644100,6463500
2015-08-28,1937829,6657600,667,6537500
2015-08-27,2943990,6719900,6739799,6511000
2015-08-26,4292376,6431000,6624800,6303700
2015-08-25,3565971,6464680,647,6116700
2015-08-24,6472137,6006000,6443300,5930900
2015-08-21,4525625,6710400,6728900,6431040
2015-08-20,2885476,6891000,6961600,6752801
2015-08-19,2507033,6901100,7002000,6868000
2015-08-18,1385267,6910700,6957568,6853200
2015-08-17,1231922,6880400,6947400,6830600
2015-08-14,1379730,6840400,6922600,6829000
2015-08-13,1812741,6892000,6940300,6821800
2015-08-12,2926164,6944900,696,6805100
2015-08-11,5472566,6995800,704,6843200
2015-08-10,1587541,6670900,6716200,6602300
2015-08-07,1376441,6677800,6687950,6588700
2015-08-06,2031876,6739900,6747500,6607300
2015-08-05,1821862,6657500,6799100,6655827
2015-08-04,1306378,6643400,668,6605100
2015-08-03,1561711,6576600,6666700,6576600
2015-07-31,1744458,6647000,6649999,6572000
2015-07-30,1979981,6574400,6680500,6516900
2015-07-29,1835632,6622600,6633300,6528400
2015-07-28,1718071,6617600,6641000,6534100
2015-07-27,2917862,6515700,6670700,6515500
2015-07-24,4127302,6767700,6777900,6531800
2015-07-23,3738692,6918500,6960700,6715900
2015-07-22,4132750,6940200,7133300,6916200
2015-07-21,3764433,6848800,7056000,6841500
2015-07-20,5116327,6889800,6978000,6817700
2015-07-17,12846880,680,703,678
2015-07-16,5401450,5895000,6045000,5879200
2015-07-15,2067590,5837400,5886900,5802100
2015-07-14,3710928,5745000,5897087,5741700
2015-07-13,2085866,5595100,5728500,5587000
2015-07-10,2169406,5537100,5592900,552
2015-07-09,1485579,5486500,5488800,5446200
2015-07-08,1380910,5456000,5482800,5412000
2015-07-07,1678926,5474300,551,5398500
2015-07-06,1277899,5422500,5485800,5420950
2015-07-02,1406198,5447400,548,5435700
2015-07-01,1536068,5436600,5458100,5397600
2015-06-30,1724359,5450900,5459000,5395400
2015-06-29,1880383,5467500,5509000,5402400
2015-06-26,2183443,5597100,560,5518500
2015-06-25,1335133,5603000,5631400,5574550
2015-06-24,1442149,5624800,5626400,5568100
2015-06-23,1568936,5597900,5649000,5571500
2015-06-22,1735267,5594100,5656100,5589100
2015-06-19,2961487,5565200,5579100,5522580
2015-06-18,2058702,548,5572500,548
2015-06-17,1216067,5454200,5483600,5418100
2015-06-16,1625462,5444800,5466900,5415724
2015-06-15,1357406,5427300,5440500,5392100
2015-06-12,1272112,5471500,5488500,5456300
2015-06-11,1287655,5544900,5548300,5491700
2015-06-10,1512572,5457000,5547800,5451100
2015-06-09,1496543,5434200,5448400,5388506
2015-06-08,1366108,5496100,5498700,5429500
2015-06-05,1218634,552,5533300,5473840
2015-06-04,1316279,5521800,5559600,5491200
2015-06-03,1333465,5551000,5579900,5521500
2015-06-02,1592575,5474300,5587900,5465500
2015-06-01,1653245,5487300,5505700,5435800
2015-05-29,2158011,5532000,5539400,5450400
2015-05-28,1177318,5537900,5557600,5508000
2015-05-27,1742062,5486800,5552900,5465813
2015-05-26,1866458,5525800,5533305,5429700
2015-05-22,1209496,5544600,5582400,5536200
2015-05-21,1707151,5502000,5576100,5493010
2015-05-20,1540493,5509200,5560650,5451000
2015-05-19,2354545,548,5534000,5471200
2015-05-18,1333895,5438200,5483400,5422500
2015-05-15,1669028,5503900,5506000,5425000
2015-05-14,1583182,5439700,5496900,5425000
2015-05-13,1211630,5404700,5438400,5389800
2015-05-12,1762653,5428100,5429610,535
2015-05-11,1091503,5484900,5533699,5456000
2015-05-08,1411047,5488700,5528000,5480300
2015-05-07,1590003,5359000,5452000,5334500
2015-05-06,1948741,5426400,5439300,5322350
2015-05-05,1422862,5501600,5526100,5423700
2015-05-04,1750805,5509900,5566900,5473900
